Date;Heure;Type;Nom;Disponibilite;Capacite;Statut;Latitude;Longitude
30/12/2025;00:33:56;Voiture;Comedie;384;664;Open;43.60856092;3.87976196
30/12/2025;00:33:56;Voiture;Corum;343;480;Open;43.61388821;3.88225773
30/12/2025;00:33:56;Voiture;Europa;489;591;Open;43.60784971;3.89253074
30/12/2025;00:33:56;Voiture;Foch;547;620;Open;43.61074912;3.87657084
30/12/2025;00:33:56;Voiture;Gambetta;162;452;Open;43.60695138;3.87137436
30/12/2025;00:33:56;Voiture;Gare;448;656;Open;43.604024;3.87891
30/12/2025;00:33:56;Voiture;Triangle;324;434;Open;43.60923384;3.88184418
30/12/2025;00:33:56;Voiture;Pitot;491;590;Open;43.61224494;3.87019117
30/12/2025;00:33:56;Voiture;Circe;1049;1200;Open;43.60495377;3.9178495
30/12/2025;00:33:56;Voiture;Garcia Lorca;397;400;Open;43.59098509;3.8907158
30/12/2025;00:33:56;Voiture;Mosson;315;328;Open;43.61623716;3.81966554
30/12/2025;00:33:56;Voiture;Sabines;182;285;Open;43.58383263;3.8602246
30/12/2025;00:33:56;Voiture;Sablassou;294;379;Open;43.63419194;3.92229536
30/12/2025;00:33:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
30/12/2025;00:33:56;Voiture;Euromedecine;182;239;Open;43.63895359;3.82772365
30/12/2025;00:33:56;Voiture;Occitanie;562;615;Open;43.63456232;3.84859796
30/12/2025;00:33:56;Voiture;Vicarello;44;64;Open;43.63286;3.898411
30/12/2025;00:33:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
30/12/2025;00:33:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
30/12/2025;00:33:56;Voiture;Charles de Gaulle;170;260;Open;43.6285421;3.8977621
30/12/2025;00:33:56;Voiture;Polygone;1670;1911;Open;43.607697;3.88515
30/12/2025;00:33:56;Voiture;Arc de Triomphe;139;440;Open;43.61100267;3.8732007
30/12/2025;00:33:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
30/12/2025;00:43:56;Voiture;Antigone;168;239;Open;43.60871606;3.88881893
30/12/2025;00:43:56;Voiture;Comedie;386;664;Open;43.60856092;3.87976196
30/12/2025;00:43:56;Voiture;Corum;343;480;Open;43.61388821;3.88225773
30/12/2025;00:43:56;Voiture;Europa;489;591;Open;43.60784971;3.89253074
30/12/2025;00:43:56;Voiture;Foch;549;620;Open;43.61074912;3.87657084
30/12/2025;00:43:56;Voiture;Gambetta;162;452;Open;43.60695138;3.87137436
30/12/2025;00:43:56;Voiture;Gare;450;656;Open;43.604024;3.87891
30/12/2025;00:43:56;Voiture;Triangle;324;434;Open;43.60923384;3.88184418
30/12/2025;00:43:56;Voiture;Pitot;492;590;Open;43.61224494;3.87019117
30/12/2025;00:43:56;Voiture;Circe;1051;1200;Open;43.60495377;3.9178495
30/12/2025;00:43:56;Voiture;Garcia Lorca;397;400;Open;43.59098509;3.8907158
30/12/2025;00:43:56;Voiture;Mosson;315;328;Open;43.61623716;3.81966554
30/12/2025;00:43:56;Voiture;Sabines;182;285;Open;43.58383263;3.8602246
30/12/2025;00:43:56;Voiture;Sablassou;295;379;Open;43.63419194;3.92229536
30/12/2025;00:43:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
30/12/2025;00:43:56;Voiture;Euromedecine;182;239;Open;43.63895359;3.82772365
30/12/2025;00:43:56;Voiture;Occitanie;562;615;Open;43.63456232;3.84859796
30/12/2025;00:43:56;Voiture;Vicarello;44;64;Open;43.63286;3.898411
30/12/2025;00:43:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
30/12/2025;00:43:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
30/12/2025;00:43:56;Voiture;Charles de Gaulle;170;260;Open;43.6285421;3.8977621
30/12/2025;00:43:56;Voiture;Polygone;1681;1911;Open;43.607697;3.88515
30/12/2025;00:43:56;Voiture;Arc de Triomphe;141;440;Open;43.61100267;3.8732007
30/12/2025;00:43:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
30/12/2025;00:53:56;Voiture;Antigone;168;239;Open;43.60871606;3.88881893
30/12/2025;00:53:56;Voiture;Comedie;391;664;Open;43.60856092;3.87976196
30/12/2025;00:53:56;Voiture;Corum;346;480;Open;43.61388821;3.88225773
30/12/2025;00:53:56;Voiture;Europa;489;591;Open;43.60784971;3.89253074
30/12/2025;00:53:56;Voiture;Foch;558;620;Open;43.61074912;3.87657084
30/12/2025;00:53:56;Voiture;Gambetta;162;452;Open;43.60695138;3.87137436
30/12/2025;00:53:56;Voiture;Gare;451;656;Open;43.604024;3.87891
30/12/2025;00:53:56;Voiture;Triangle;325;434;Open;43.60923384;3.88184418
30/12/2025;00:53:56;Voiture;Pitot;496;590;Open;43.61224494;3.87019117
30/12/2025;00:53:56;Voiture;Circe;1054;1200;Open;43.60495377;3.9178495
30/12/2025;00:53:56;Voiture;Garcia Lorca;397;400;Open;43.59098509;3.8907158
30/12/2025;00:53:56;Voiture;Mosson;315;328;Open;43.61623716;3.81966554
30/12/2025;00:53:56;Voiture;Sabines;182;285;Open;43.58383263;3.8602246
30/12/2025;00:53:56;Voiture;Sablassou;295;379;Open;43.63419194;3.92229536
30/12/2025;00:53:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
30/12/2025;00:53:56;Voiture;Euromedecine;182;239;Open;43.63895359;3.82772365
30/12/2025;00:53:56;Voiture;Occitanie;562;615;Open;43.63456232;3.84859796
30/12/2025;00:53:56;Voiture;Vicarello;44;64;Open;43.63286;3.898411
30/12/2025;00:53:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
30/12/2025;00:53:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
30/12/2025;00:53:56;Voiture;Charles de Gaulle;170;260;Open;43.6285421;3.8977621
30/12/2025;00:53:56;Voiture;Polygone;1684;1911;Open;43.607697;3.88515
30/12/2025;00:53:56;Voiture;Arc de Triomphe;141;440;Open;43.61100267;3.8732007
30/12/2025;00:53:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
30/12/2025;01:03:56;Voiture;Antigone;168;239;Open;43.60871606;3.88881893
30/12/2025;01:03:56;Voiture;Comedie;397;664;Open;43.60856092;3.87976196
30/12/2025;01:03:56;Voiture;Corum;347;480;Open;43.61388821;3.88225773
30/12/2025;01:03:56;Voiture;Europa;489;591;Open;43.60784971;3.89253074
30/12/2025;01:03:56;Voiture;Foch;562;620;Open;43.61074912;3.87657084
30/12/2025;01:03:56;Voiture;Gambetta;163;452;Open;43.60695138;3.87137436
30/12/2025;01:03:56;Voiture;Gare;452;656;Open;43.604024;3.87891
30/12/2025;01:03:56;Voiture;Triangle;325;434;Open;43.60923384;3.88184418
30/12/2025;01:03:56;Voiture;Pitot;497;590;Open;43.61224494;3.87019117
30/12/2025;01:03:56;Voiture;Circe;1056;1200;Open;43.60495377;3.9178495
30/12/2025;01:03:56;Voiture;Garcia Lorca;397;400;Open;43.59098509;3.8907158
30/12/2025;01:03:56;Voiture;Mosson;315;328;Open;43.61623716;3.81966554
30/12/2025;01:03:56;Voiture;Sabines;181;285;Open;43.58383263;3.8602246
30/12/2025;01:03:56;Voiture;Sablassou;295;379;Open;43.63419194;3.92229536
30/12/2025;01:03:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
30/12/2025;01:03:56;Voiture;Euromedecine;182;239;Open;43.63895359;3.82772365
30/12/2025;01:03:56;Voiture;Occitanie;564;615;Open;43.63456232;3.84859796
30/12/2025;01:03:56;Voiture;Vicarello;44;64;Open;43.63286;3.898411
30/12/2025;01:03:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
30/12/2025;01:03:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
30/12/2025;01:03:56;Voiture;Charles de Gaulle;170;260;Open;43.6285421;3.8977621
30/12/2025;01:03:56;Voiture;Polygone;1689;1911;Open;43.607697;3.88515
30/12/2025;01:03:56;Voiture;Arc de Triomphe;142;440;Open;43.61100267;3.8732007
30/12/2025;01:03:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
30/12/2025;01:13:56;Voiture;Antigone;168;239;Open;43.60871606;3.88881893
30/12/2025;01:13:56;Voiture;Comedie;400;664;Open;43.60856092;3.87976196
30/12/2025;01:13:56;Voiture;Corum;351;480;Open;43.61388821;3.88225773
30/12/2025;01:13:56;Voiture;Europa;489;591;Open;43.60784971;3.89253074
30/12/2025;01:13:56;Voiture;Foch;565;620;Open;43.61074912;3.87657084
30/12/2025;01:13:56;Voiture;Gambetta;163;452;Open;43.60695138;3.87137436
30/12/2025;01:13:56;Voiture;Gare;452;656;Open;43.604024;3.87891
30/12/2025;01:13:56;Voiture;Triangle;326;434;Open;43.60923384;3.88184418
30/12/2025;01:13:56;Voiture;Pitot;503;590;Open;43.61224494;3.87019117
30/12/2025;01:13:56;Voiture;Circe;1068;1200;Open;43.60495377;3.9178495
