Date;Heure;Type;Nom;Disponibilite;Capacite;Statut;Latitude;Longitude
31/12/2025;02:13:56;Voiture;Gambetta;156;452;Open;43.60695138;3.87137436
31/12/2025;02:13:56;Voiture;Gare;451;656;Open;43.604024;3.87891
31/12/2025;02:13:56;Voiture;Triangle;358;434;Open;43.60923384;3.88184418
31/12/2025;02:13:56;Voiture;Pitot;502;590;Open;43.61224494;3.87019117
31/12/2025;02:13:56;Voiture;Circe;1028;1200;Open;43.60495377;3.9178495
31/12/2025;02:13:56;Voiture;Garcia Lorca;381;400;Open;43.59098509;3.8907158
31/12/2025;02:13:56;Voiture;Mosson;314;328;Open;43.61623716;3.81966554
31/12/2025;02:13:56;Voiture;Sabines;169;285;Open;43.58383263;3.8602246
31/12/2025;02:13:56;Voiture;Sablassou;294;379;Open;43.63419194;3.92229536
31/12/2025;02:13:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
31/12/2025;02:13:56;Voiture;Euromedecine;177;239;Open;43.63895359;3.82772365
31/12/2025;02:13:56;Voiture;Occitanie;563;615;Open;43.63456232;3.84859796
31/12/2025;02:13:56;Voiture;Vicarello;42;64;Open;43.63286;3.898411
31/12/2025;02:13:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
31/12/2025;02:13:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
31/12/2025;02:13:56;Voiture;Charles de Gaulle;170;260;Open;43.6285421;3.8977621
31/12/2025;02:13:56;Voiture;Polygone;1702;1911;Open;43.607697;3.88515
31/12/2025;02:13:56;Voiture;Arc de Triomphe;144;440;Open;43.61100267;3.8732007
31/12/2025;02:13:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
31/12/2025;02:23:56;Voiture;Antigone;169;239;Open;43.60871606;3.88881893
31/12/2025;02:23:56;Voiture;Comedie;437;664;Open;43.60856092;3.87976196
31/12/2025;02:23:56;Voiture;Corum;352;480;Open;43.61388821;3.88225773
31/12/2025;02:23:56;Voiture;Europa;487;591;Open;43.60784971;3.89253074
31/12/2025;02:23:56;Voiture;Foch;583;620;Open;43.61074912;3.87657084
31/12/2025;02:23:56;Voiture;Gambetta;157;452;Open;43.60695138;3.87137436
31/12/2025;02:23:56;Voiture;Gare;453;656;Open;43.604024;3.87891
31/12/2025;02:23:56;Voiture;Triangle;359;434;Open;43.60923384;3.88184418
31/12/2025;02:23:56;Voiture;Pitot;502;590;Open;43.61224494;3.87019117
31/12/2025;02:23:56;Voiture;Circe;1028;1200;Open;43.60495377;3.9178495
31/12/2025;02:23:56;Voiture;Garcia Lorca;381;400;Open;43.59098509;3.8907158
31/12/2025;02:23:56;Voiture;Mosson;314;328;Open;43.61623716;3.81966554
31/12/2025;02:23:56;Voiture;Sabines;169;285;Open;43.58383263;3.8602246
31/12/2025;02:23:56;Voiture;Sablassou;294;379;Open;43.63419194;3.92229536
31/12/2025;02:23:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
31/12/2025;02:23:56;Voiture;Euromedecine;177;239;Open;43.63895359;3.82772365
31/12/2025;02:23:56;Voiture;Occitanie;563;615;Open;43.63456232;3.84859796
31/12/2025;02:23:56;Voiture;Vicarello;42;64;Open;43.63286;3.898411
31/12/2025;02:23:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
31/12/2025;02:23:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
31/12/2025;02:23:56;Voiture;Charles de Gaulle;170;260;Open;43.6285421;3.8977621
31/12/2025;02:23:56;Voiture;Polygone;1701;1911;Open;43.607697;3.88515
31/12/2025;02:23:56;Voiture;Arc de Triomphe;143;440;Open;43.61100267;3.8732007
31/12/2025;02:23:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
31/12/2025;02:33:56;Voiture;Antigone;169;239;Open;43.60871606;3.88881893
31/12/2025;02:33:56;Voiture;Comedie;439;664;Open;43.60856092;3.87976196
31/12/2025;02:33:56;Voiture;Corum;354;480;Open;43.61388821;3.88225773
31/12/2025;02:33:56;Voiture;Europa;487;591;Open;43.60784971;3.89253074
31/12/2025;02:33:56;Voiture;Foch;584;620;Open;43.61074912;3.87657084
31/12/2025;02:33:56;Voiture;Gambetta;156;452;Open;43.60695138;3.87137436
31/12/2025;02:33:56;Voiture;Gare;453;656;Open;43.604024;3.87891
31/12/2025;02:33:56;Voiture;Triangle;359;434;Open;43.60923384;3.88184418
31/12/2025;02:33:56;Voiture;Pitot;502;590;Open;43.61224494;3.87019117
31/12/2025;02:33:56;Voiture;Circe;1028;1200;Open;43.60495377;3.9178495
31/12/2025;02:33:56;Voiture;Garcia Lorca;381;400;Open;43.59098509;3.8907158
31/12/2025;02:33:56;Voiture;Mosson;314;328;Open;43.61623716;3.81966554
31/12/2025;02:33:56;Voiture;Sabines;169;285;Open;43.58383263;3.8602246
31/12/2025;02:33:56;Voiture;Sablassou;294;379;Open;43.63419194;3.92229536
31/12/2025;02:33:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
31/12/2025;02:33:56;Voiture;Euromedecine;177;239;Open;43.63895359;3.82772365
31/12/2025;02:33:56;Voiture;Occitanie;563;615;Open;43.63456232;3.84859796
31/12/2025;02:33:56;Voiture;Vicarello;41;64;Open;43.63286;3.898411
31/12/2025;02:33:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
31/12/2025;02:33:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
31/12/2025;02:33:56;Voiture;Charles de Gaulle;169;260;Open;43.6285421;3.8977621
31/12/2025;02:33:56;Voiture;Polygone;1700;1911;Open;43.607697;3.88515
31/12/2025;02:33:56;Voiture;Arc de Triomphe;144;440;Open;43.61100267;3.8732007
31/12/2025;02:33:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
31/12/2025;02:43:56;Voiture;Antigone;169;239;Open;43.60871606;3.88881893
31/12/2025;02:43:56;Voiture;Comedie;439;664;Open;43.60856092;3.87976196
31/12/2025;02:43:56;Voiture;Corum;354;480;Open;43.61388821;3.88225773
31/12/2025;02:43:56;Voiture;Europa;487;591;Open;43.60784971;3.89253074
31/12/2025;02:43:56;Voiture;Foch;584;620;Open;43.61074912;3.87657084
31/12/2025;02:43:56;Voiture;Gambetta;156;452;Open;43.60695138;3.87137436
31/12/2025;02:43:56;Voiture;Gare;453;656;Open;43.604024;3.87891
31/12/2025;02:43:56;Voiture;Triangle;359;434;Open;43.60923384;3.88184418
31/12/2025;02:43:56;Voiture;Pitot;502;590;Open;43.61224494;3.87019117
31/12/2025;02:43:56;Voiture;Circe;1029;1200;Open;43.60495377;3.9178495
31/12/2025;02:43:56;Voiture;Garcia Lorca;381;400;Open;43.59098509;3.8907158
31/12/2025;02:43:56;Voiture;Mosson;314;328;Open;43.61623716;3.81966554
31/12/2025;02:43:56;Voiture;Sabines;169;285;Open;43.58383263;3.8602246
31/12/2025;02:43:56;Voiture;Sablassou;294;379;Open;43.63419194;3.92229536
31/12/2025;02:43:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
31/12/2025;02:43:56;Voiture;Euromedecine;177;239;Open;43.63895359;3.82772365
31/12/2025;02:43:56;Voiture;Occitanie;563;615;Open;43.63456232;3.84859796
31/12/2025;02:43:56;Voiture;Vicarello;41;64;Open;43.63286;3.898411
31/12/2025;02:43:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
31/12/2025;02:43:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
31/12/2025;02:43:56;Voiture;Charles de Gaulle;169;260;Open;43.6285421;3.8977621
31/12/2025;02:43:56;Voiture;Polygone;1708;1911;Open;43.607697;3.88515
31/12/2025;02:43:56;Voiture;Arc de Triomphe;144;440;Open;43.61100267;3.8732007
31/12/2025;02:43:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
31/12/2025;02:53:56;Voiture;Antigone;169;239;Open;43.60871606;3.88881893
31/12/2025;02:53:56;Voiture;Comedie;440;664;Open;43.60856092;3.87976196
31/12/2025;02:53:56;Voiture;Corum;354;480;Open;43.61388821;3.88225773
31/12/2025;02:53:56;Voiture;Europa;487;591;Open;43.60784971;3.89253074
31/12/2025;02:53:56;Voiture;Foch;584;620;Open;43.61074912;3.87657084
31/12/2025;02:53:56;Voiture;Gambetta;156;452;Open;43.60695138;3.87137436
31/12/2025;02:53:56;Voiture;Gare;453;656;Open;43.604024;3.87891
31/12/2025;02:53:56;Voiture;Triangle;359;434;Open;43.60923384;3.88184418
31/12/2025;02:53:56;Voiture;Pitot;502;590;Open;43.61224494;3.87019117
31/12/2025;02:53:56;Voiture;Circe;1029;1200;Open;43.60495377;3.9178495
31/12/2025;02:53:56;Voiture;Garcia Lorca;381;400;Open;43.59098509;3.8907158
31/12/2025;02:53:56;Voiture;Mosson;314;328;Open;43.61623716;3.81966554
31/12/2025;02:53:56;Voiture;Sabines;169;285;Open;43.58383263;3.8602246
31/12/2025;02:53:56;Voiture;Sablassou;294;379;Open;43.63419194;3.92229536
31/12/2025;02:53:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
31/12/2025;02:53:56;Voiture;Euromedecine;177;239;Open;43.63895359;3.82772365
31/12/2025;02:53:56;Voiture;Occitanie;563;615;Open;43.63456232;3.84859796
31/12/2025;02:53:56;Voiture;Vicarello;41;64;Open;43.63286;3.898411
31/12/2025;02:53:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
31/12/2025;02:53:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
31/12/2025;02:53:56;Voiture;Charles de Gaulle;169;260;Open;43.6285421;3.8977621
31/12/2025;02:53:56;Voiture;Polygone;1702;1911;Open;43.607697;3.88515
31/12/2025;02:53:56;Voiture;Arc de Triomphe;145;440;Open;43.61100267;3.8732007
31/12/2025;02:53:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
31/12/2025;03:03:56;Voiture;Antigone;168;239;Open;43.60871606;3.88881893
31/12/2025;03:03:56;Voiture;Comedie;440;664;Open;43.60856092;3.87976196
31/12/2025;03:03:56;Voiture;Corum;354;480;Open;43.61388821;3.88225773
31/12/2025;03:03:56;Voiture;Europa;487;591;Open;43.60784971;3.89253074
31/12/2025;03:03:56;Voiture;Foch;584;620;Open;43.61074912;3.87657084
31/12/2025;03:03:56;Voiture;Gambetta;155;452;Open;43.60695138;3.87137436
31/12/2025;03:03:56;Voiture;Gare;453;656;Open;43.604024;3.87891
31/12/2025;03:03:56;Voiture;Triangle;358;434;Open;43.60923384;3.88184418
31/12/2025;03:03:56;Voiture;Pitot;500;590;Open;43.61224494;3.87019117
31/12/2025;03:03:56;Voiture;Circe;1030;1200;Open;43.60495377;3.9178495
31/12/2025;03:03:56;Voiture;Garcia Lorca;381;400;Open;43.59098509;3.8907158
31/12/2025;03:03:56;Voiture;Mosson;314;328;Open;43.61623716;3.81966554
31/12/2025;03:03:56;Voiture;Sabines;169;285;Open;43.58383263;3.8602246
31/12/2025;03:03:56;Voiture;Sablassou;294;379;Open;43.63419194;3.92229536
31/12/2025;03:03:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
31/12/2025;03:03:56;Voiture;Euromedecine;177;239;Open;43.63895359;3.82772365
31/12/2025;03:03:56;Voiture;Occitanie;563;615;Open;43.63456232;3.84859796
31/12/2025;03:03:56;Voiture;Vicarello;42;64;Open;43.63286;3.898411
31/12/2025;03:03:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
31/12/2025;03:03:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
31/12/2025;03:03:56;Voiture;Charles de Gaulle;169;260;Open;43.6285421;3.8977621
31/12/2025;03:03:56;Voiture;Polygone;1702;1911;Open;43.607697;3.88515
31/12/2025;03:03:56;Voiture;Arc de Triomphe;145;440;Open;43.61100267;3.8732007
31/12/2025;03:03:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
31/12/2025;03:13:56;Voiture;Antigone;168;239;Open;43.60871606;3.88881893
31/12/2025;03:13:56;Voiture;Comedie;440;664;Open;43.60856092;3.87976196
31/12/2025;03:13:56;Voiture;Corum;354;480;Open;43.61388821;3.88225773
31/12/2025;03:13:56;Voiture;Europa;487;591;Open;43.60784971;3.89253074
31/12/2025;03:13:56;Voiture;Foch;584;620;Open;43.61074912;3.87657084
31/12/2025;03:13:56;Voiture;Gambetta;155;452;Open;43.60695138;3.87137436
31/12/2025;03:13:56;Voiture;Gare;454;656;Open;43.604024;3.87891
31/12/2025;03:13:56;Voiture;Triangle;358;434;Open;43.60923384;3.88184418
31/12/2025;03:13:56;Voiture;Pitot;500;590;Open;43.61224494;3.87019117
31/12/2025;03:13:56;Voiture;Circe;1031;1200;Open;43.60495377;3.9178495
31/12/2025;03:13:56;Voiture;Garcia Lorca;381;400;Open;43.59098509;3.8907158
31/12/2025;03:13:56;Voiture;Mosson;314;328;Open;43.61623716;3.81966554
31/12/2025;03:13:56;Voiture;Sabines;169;285;Open;43.58383263;3.8602246
31/12/2025;03:13:56;Voiture;Sablassou;294;379;Open;43.63419194;3.92229536
31/12/2025;03:13:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
31/12/2025;03:13:56;Voiture;Euromedecine;177;239;Open;43.63895359;3.82772365
31/12/2025;03:13:56;Voiture;Occitanie;563;615;Open;43.63456232;3.84859796
31/12/2025;03:13:56;Voiture;Vicarello;42;64;Open;43.63286;3.898411
31/12/2025;03:13:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
31/12/2025;03:13:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
31/12/2025;03:13:56;Voiture;Charles de Gaulle;169;260;Open;43.6285421;3.8977621
31/12/2025;03:13:56;Voiture;Polygone;1702;1911;Open;43.607697;3.88515
31/12/2025;03:13:56;Voiture;Arc de Triomphe;145;440;Open;43.61100267;3.8732007
31/12/2025;03:13:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
31/12/2025;03:23:56;Voiture;Antigone;169;239;Open;43.60871606;3.88881893
31/12/2025;03:23:56;Voiture;Comedie;440;664;Open;43.60856092;3.87976196
31/12/2025;03:23:56;Voiture;Corum;354;480;Open;43.61388821;3.88225773
31/12/2025;03:23:56;Voiture;Europa;487;591;Open;43.60784971;3.89253074
31/12/2025;03:23:56;Voiture;Foch;584;620;Open;43.61074912;3.87657084
31/12/2025;03:23:56;Voiture;Gambetta;155;452;Open;43.60695138;3.87137436
31/12/2025;03:23:56;Voiture;Gare;454;656;Open;43.604024;3.87891
31/12/2025;03:23:56;Voiture;Triangle;358;434;Open;43.60923384;3.88184418
31/12/2025;03:23:56;Voiture;Pitot;500;590;Open;43.61224494;3.87019117
31/12/2025;03:23:56;Voiture;Circe;1031;1200;Open;43.60495377;3.9178495
31/12/2025;03:23:56;Voiture;Garcia Lorca;381;400;Open;43.59098509;3.8907158
31/12/2025;03:23:56;Voiture;Mosson;314;328;Open;43.61623716;3.81966554
31/12/2025;03:23:56;Voiture;Sabines;168;285;Open;43.58383263;3.8602246
31/12/2025;03:23:56;Voiture;Sablassou;294;379;Open;43.63419194;3.92229536
31/12/2025;03:23:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
31/12/2025;03:23:56;Voiture;Euromedecine;177;239;Open;43.63895359;3.82772365
31/12/2025;03:23:56;Voiture;Occitanie;563;615;Open;43.63456232;3.84859796
31/12/2025;03:23:56;Voiture;Vicarello;42;64;Open;43.63286;3.898411
31/12/2025;03:23:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
31/12/2025;03:23:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
31/12/2025;03:23:56;Voiture;Charles de Gaulle;169;260;Open;43.6285421;3.8977621
31/12/2025;03:23:56;Voiture;Polygone;1706;1911;Open;43.607697;3.88515
31/12/2025;03:23:56;Voiture;Arc de Triomphe;145;440;Open;43.61100267;3.8732007
31/12/2025;03:23:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
31/12/2025;03:33:56;Voiture;Antigone;169;239;Open;43.60871606;3.88881893
31/12/2025;03:33:56;Voiture;Comedie;440;664;Open;43.60856092;3.87976196
31/12/2025;03:33:56;Voiture;Corum;354;480;Open;43.61388821;3.88225773
31/12/2025;03:33:56;Voiture;Europa;487;591;Open;43.60784971;3.89253074
31/12/2025;03:33:56;Voiture;Foch;584;620;Open;43.61074912;3.87657084
31/12/2025;03:33:56;Voiture;Gambetta;155;452;Open;43.60695138;3.87137436
31/12/2025;03:33:56;Voiture;Gare;454;656;Open;43.604024;3.87891
31/12/2025;03:33:56;Voiture;Triangle;358;434;Open;43.60923384;3.88184418
31/12/2025;03:33:56;Voiture;Pitot;500;590;Open;43.61224494;3.87019117
31/12/2025;03:33:56;Voiture;Circe;1031;1200;Open;43.60495377;3.9178495
31/12/2025;03:33:56;Voiture;Garcia Lorca;381;400;Open;43.59098509;3.8907158
31/12/2025;03:33:56;Voiture;Mosson;314;328;Open;43.61623716;3.81966554
31/12/2025;03:33:56;Voiture;Sabines;168;285;Open;43.58383263;3.8602246
31/12/2025;03:33:56;Voiture;Sablassou;294;379;Open;43.63419194;3.92229536
31/12/2025;03:33:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
31/12/2025;03:33:56;Voiture;Euromedecine;177;239;Open;43.63895359;3.82772365
31/12/2025;03:33:56;Voiture;Occitanie;563;615;Open;43.63456232;3.84859796
31/12/2025;03:33:56;Voiture;Vicarello;42;64;Open;43.63286;3.898411
31/12/2025;03:33:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
31/12/2025;03:33:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
31/12/2025;03:33:56;Voiture;Charles de Gaulle;169;260;Open;43.6285421;3.8977621
31/12/2025;03:33:56;Voiture;Polygone;1702;1911;Open;43.607697;3.88515
31/12/2025;03:33:56;Voiture;Arc de Triomphe;145;440;Open;43.61100267;3.8732007
31/12/2025;03:33:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
31/12/2025;03:43:56;Voiture;Antigone;168;239;Open;43.60871606;3.88881893
31/12/2025;03:43:56;Voiture;Comedie;440;664;Open;43.60856092;3.87976196
31/12/2025;03:43:56;Voiture;Corum;354;480;Open;43.61388821;3.88225773
31/12/2025;03:43:56;Voiture;Europa;487;591;Open;43.60784971;3.89253074
31/12/2025;03:43:56;Voiture;Foch;584;620;Open;43.61074912;3.87657084
31/12/2025;03:43:56;Voiture;Gambetta;155;452;Open;43.60695138;3.87137436
31/12/2025;03:43:56;Voiture;Gare;455;656;Open;43.604024;3.87891
31/12/2025;03:43:56;Voiture;Triangle;358;434;Open;43.60923384;3.88184418
31/12/2025;03:43:56;Voiture;Pitot;500;590;Open;43.61224494;3.87019117
31/12/2025;03:43:56;Voiture;Circe;1031;1200;Open;43.60495377;3.9178495
31/12/2025;03:43:56;Voiture;Garcia Lorca;381;400;Open;43.59098509;3.8907158
31/12/2025;03:43:56;Voiture;Mosson;314;328;Open;43.61623716;3.81966554
31/12/2025;03:43:56;Voiture;Sabines;168;285;Open;43.58383263;3.8602246
31/12/2025;03:43:56;Voiture;Sablassou;294;379;Open;43.63419194;3.92229536
31/12/2025;03:43:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
31/12/2025;03:43:56;Voiture;Euromedecine;177;239;Open;43.63895359;3.82772365
31/12/2025;03:43:56;Voiture;Occitanie;563;615;Open;43.63456232;3.84859796
31/12/2025;03:43:56;Voiture;Vicarello;42;64;Open;43.63286;3.898411
31/12/2025;03:43:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
31/12/2025;03:43:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
31/12/2025;03:43:56;Voiture;Charles de Gaulle;169;260;Open;43.6285421;3.8977621
31/12/2025;03:43:56;Voiture;Polygone;1702;1911;Open;43.607697;3.88515
31/12/2025;03:43:56;Voiture;Arc de Triomphe;145;440;Open;43.61100267;3.8732007
31/12/2025;03:43:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
31/12/2025;03:53:56;Voiture;Antigone;168;239;Open;43.60871606;3.88881893
31/12/2025;03:53:56;Voiture;Comedie;439;664;Open;43.60856092;3.87976196
31/12/2025;03:53:56;Voiture;Corum;354;480;Open;43.61388821;3.88225773
31/12/2025;03:53:56;Voiture;Europa;487;591;Open;43.60784971;3.89253074
31/12/2025;03:53:56;Voiture;Foch;584;620;Open;43.61074912;3.87657084
31/12/2025;03:53:56;Voiture;Gambetta;156;452;Open;43.60695138;3.87137436
31/12/2025;03:53:56;Voiture;Gare;455;656;Open;43.604024;3.87891
31/12/2025;03:53:56;Voiture;Triangle;358;434;Open;43.60923384;3.88184418
31/12/2025;03:53:56;Voiture;Pitot;500;590;Open;43.61224494;3.87019117
31/12/2025;03:53:56;Voiture;Circe;1031;1200;Open;43.60495377;3.9178495
31/12/2025;03:53:56;Voiture;Garcia Lorca;381;400;Open;43.59098509;3.8907158
31/12/2025;03:53:56;Voiture;Mosson;314;328;Open;43.61623716;3.81966554
31/12/2025;03:53:56;Voiture;Sabines;168;285;Open;43.58383263;3.8602246
31/12/2025;03:53:56;Voiture;Sablassou;294;379;Open;43.63419194;3.92229536
31/12/2025;03:53:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
31/12/2025;03:53:56;Voiture;Euromedecine;177;239;Open;43.63895359;3.82772365
31/12/2025;03:53:56;Voiture;Occitanie;563;615;Open;43.63456232;3.84859796
31/12/2025;03:53:56;Voiture;Vicarello;42;64;Open;43.63286;3.898411
31/12/2025;03:53:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
31/12/2025;03:53:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
31/12/2025;03:53:56;Voiture;Charles de Gaulle;169;260;Open;43.6285421;3.8977621
31/12/2025;03:53:56;Voiture;Polygone;1707;1911;Open;43.607697;3.88515
31/12/2025;03:53:56;Voiture;Arc de Triomphe;145;440;Open;43.61100267;3.8732007
31/12/2025;03:53:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
31/12/2025;04:03:56;Voiture;Antigone;168;239;Open;43.60871606;3.88881893
31/12/2025;04:03:56;Voiture;Comedie;439;664;Open;43.60856092;3.87976196
31/12/2025;04:03:56;Voiture;Corum;354;480;Open;43.61388821;3.88225773
31/12/2025;04:03:56;Voiture;Europa;487;591;Open;43.60784971;3.89253074
31/12/2025;04:03:56;Voiture;Foch;584;620;Open;43.61074912;3.87657084
31/12/2025;04:03:56;Voiture;Gambetta;156;452;Open;43.60695138;3.87137436
31/12/2025;04:03:56;Voiture;Gare;456;656;Open;43.604024;3.87891
31/12/2025;04:03:56;Voiture;Triangle;359;434;Open;43.60923384;3.88184418
31/12/2025;04:03:56;Voiture;Pitot;500;590;Open;43.61224494;3.87019117
31/12/2025;04:03:56;Voiture;Circe;1031;1200;Open;43.60495377;3.9178495
31/12/2025;04:03:56;Voiture;Garcia Lorca;381;400;Open;43.59098509;3.8907158
31/12/2025;04:03:56;Voiture;Mosson;314;328;Open;43.61623716;3.81966554
31/12/2025;04:03:56;Voiture;Sabines;168;285;Open;43.58383263;3.8602246
31/12/2025;04:03:56;Voiture;Sablassou;294;379;Open;43.63419194;3.92229536
31/12/2025;04:03:56;Voiture;Saint Jean Le Sec;242;285;Open;43.57082225;3.8379312
31/12/2025;04:03:56;Voiture;Euromedecine;177;239;Open;43.63895359;3.82772365
31/12/2025;04:03:56;Voiture;Occitanie;563;615;Open;43.63456232;3.84859796
31/12/2025;04:03:56;Voiture;Vicarello;42;64;Open;43.63286;3.898411
31/12/2025;04:03:56;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
31/12/2025;04:03:56;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
31/12/2025;04:03:56;Voiture;Charles de Gaulle;169;260;Open;43.6285421;3.8977621
31/12/2025;04:03:56;Voiture;Polygone;1707;1911;Open;43.607697;3.88515
31/12/2025;04:03:56;Voiture;Arc de Triomphe;145;440;Open;43.61100267;3.8732007
31/12/2025;04:03:56;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
31/12/2025;04:13:56;Voiture;Antigone;168;239;Open;43.60871606;3.88881893
31/12/2025;04:13:56;Voiture;Comedie;439;664;Open;43.60856092;3.87976196
31/12/2025;04:13:56;Voiture;Corum;353;480;Open;43.61388821;3.88225773
31/12/2025;04:13:56;Voiture;Europa;486;591;Open;43.60784971;3.89253074
31/12/2025;04:13:56;Voiture;Foch;584;620;Open;43.61074912;3.87657084
31/12/2025;04:13:56;Voiture;Gambetta;156;452;Open;43.60695138;3.87137436
31/12/2025;04:13:56;Voiture;Gare;456;656;Open;43.604024;3.87891
31/12/2025;04:13:56;Voiture;Triangle;359;434;Open;43.60923384;3.88184418
31/12/2025;04:13:56;Voiture;Pitot;500;590;Open;43.61224494;3.87019117
31/12/2025;04:13:56;Voiture;Circe;1031;1200;Open;43.60495377;3.9178495
