Date;Heure;Type;Nom;Disponibilite;Capacite;Statut;Latitude;Longitude
29/12/2025;00:33:54;Voiture;Comedie;403;664;Open;43.60856092;3.87976196
29/12/2025;00:33:54;Voiture;Corum;365;480;Open;43.61388821;3.88225773
29/12/2025;00:33:54;Voiture;Europa;500;591;Open;43.60784971;3.89253074
29/12/2025;00:33:54;Voiture;Foch;563;620;Open;43.61074912;3.87657084
29/12/2025;00:33:54;Voiture;Gambetta;155;452;Open;43.60695138;3.87137436
29/12/2025;00:33:54;Voiture;Gare;466;656;Open;43.604024;3.87891
29/12/2025;00:33:54;Voiture;Triangle;339;434;Open;43.60923384;3.88184418
29/12/2025;00:33:54;Voiture;Pitot;514;590;Open;43.61224494;3.87019117
29/12/2025;00:33:54;Voiture;Circe;1064;1200;Open;43.60495377;3.9178495
29/12/2025;00:33:54;Voiture;Garcia Lorca;383;400;Open;43.59098509;3.8907158
29/12/2025;00:33:54;Voiture;Mosson;322;328;Open;43.61623716;3.81966554
29/12/2025;00:33:54;Voiture;Sabines;195;285;Open;43.58383263;3.8602246
29/12/2025;00:33:54;Voiture;Sablassou;297;379;Open;43.63419194;3.92229536
29/12/2025;00:33:54;Voiture;Saint Jean Le Sec;245;285;Open;43.57082225;3.8379312
29/12/2025;00:33:54;Voiture;Euromedecine;191;239;Open;43.63895359;3.82772365
29/12/2025;00:33:54;Voiture;Occitanie;567;615;Open;43.63456232;3.84859796
29/12/2025;00:33:54;Voiture;Vicarello;49;64;Open;43.63286;3.898411
29/12/2025;00:33:54;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
29/12/2025;00:33:54;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
29/12/2025;00:33:54;Voiture;Charles de Gaulle;168;260;Open;43.6285421;3.8977621
29/12/2025;00:33:54;Voiture;Polygone;1677;1911;Open;43.607697;3.88515
29/12/2025;00:33:54;Voiture;Arc de Triomphe;150;440;Open;43.61100267;3.8732007
29/12/2025;00:33:54;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
29/12/2025;00:43:54;Voiture;Antigone;165;239;Open;43.60871606;3.88881893
29/12/2025;00:43:54;Voiture;Comedie;405;664;Open;43.60856092;3.87976196
29/12/2025;00:43:54;Voiture;Corum;366;480;Open;43.61388821;3.88225773
29/12/2025;00:43:54;Voiture;Europa;500;591;Open;43.60784971;3.89253074
29/12/2025;00:43:54;Voiture;Foch;567;620;Open;43.61074912;3.87657084
29/12/2025;00:43:54;Voiture;Gambetta;155;452;Open;43.60695138;3.87137436
29/12/2025;00:43:54;Voiture;Gare;465;656;Open;43.604024;3.87891
29/12/2025;00:43:54;Voiture;Triangle;339;434;Open;43.60923384;3.88184418
29/12/2025;00:43:54;Voiture;Pitot;515;590;Open;43.61224494;3.87019117
29/12/2025;00:43:54;Voiture;Circe;1065;1200;Open;43.60495377;3.9178495
29/12/2025;00:43:54;Voiture;Garcia Lorca;383;400;Open;43.59098509;3.8907158
29/12/2025;00:43:54;Voiture;Mosson;322;328;Open;43.61623716;3.81966554
29/12/2025;00:43:54;Voiture;Sabines;195;285;Open;43.58383263;3.8602246
29/12/2025;00:43:54;Voiture;Sablassou;297;379;Open;43.63419194;3.92229536
29/12/2025;00:43:54;Voiture;Saint Jean Le Sec;245;285;Open;43.57082225;3.8379312
29/12/2025;00:43:54;Voiture;Euromedecine;192;239;Open;43.63895359;3.82772365
29/12/2025;00:43:54;Voiture;Occitanie;567;615;Open;43.63456232;3.84859796
29/12/2025;00:43:54;Voiture;Vicarello;49;64;Open;43.63286;3.898411
29/12/2025;00:43:54;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
29/12/2025;00:43:54;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
29/12/2025;00:43:54;Voiture;Charles de Gaulle;169;260;Open;43.6285421;3.8977621
29/12/2025;00:43:54;Voiture;Polygone;1685;1911;Open;43.607697;3.88515
29/12/2025;00:43:54;Voiture;Arc de Triomphe;151;440;Open;43.61100267;3.8732007
29/12/2025;00:43:54;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
29/12/2025;00:53:54;Voiture;Antigone;165;239;Open;43.60871606;3.88881893
29/12/2025;00:53:54;Voiture;Comedie;408;664;Open;43.60856092;3.87976196
29/12/2025;00:53:54;Voiture;Corum;366;480;Open;43.61388821;3.88225773
29/12/2025;00:53:54;Voiture;Europa;500;591;Open;43.60784971;3.89253074
29/12/2025;00:53:54;Voiture;Foch;569;620;Open;43.61074912;3.87657084
29/12/2025;00:53:54;Voiture;Gambetta;156;452;Open;43.60695138;3.87137436
29/12/2025;00:53:54;Voiture;Gare;466;656;Open;43.604024;3.87891
29/12/2025;00:53:54;Voiture;Triangle;340;434;Open;43.60923384;3.88184418
29/12/2025;00:53:54;Voiture;Pitot;513;590;Open;43.61224494;3.87019117
29/12/2025;00:53:54;Voiture;Circe;1067;1200;Open;43.60495377;3.9178495
29/12/2025;00:53:54;Voiture;Garcia Lorca;383;400;Open;43.59098509;3.8907158
29/12/2025;00:53:54;Voiture;Mosson;322;328;Open;43.61623716;3.81966554
29/12/2025;00:53:54;Voiture;Sabines;194;285;Open;43.58383263;3.8602246
29/12/2025;00:53:54;Voiture;Sablassou;297;379;Open;43.63419194;3.92229536
29/12/2025;00:53:54;Voiture;Saint Jean Le Sec;245;285;Open;43.57082225;3.8379312
29/12/2025;00:53:54;Voiture;Euromedecine;192;239;Open;43.63895359;3.82772365
29/12/2025;00:53:54;Voiture;Occitanie;567;615;Open;43.63456232;3.84859796
29/12/2025;00:53:54;Voiture;Vicarello;49;64;Open;43.63286;3.898411
29/12/2025;00:53:54;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
29/12/2025;00:53:54;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
29/12/2025;00:53:54;Voiture;Charles de Gaulle;169;260;Open;43.6285421;3.8977621
29/12/2025;00:53:54;Voiture;Polygone;1677;1911;Open;43.607697;3.88515
29/12/2025;00:53:54;Voiture;Arc de Triomphe;151;440;Open;43.61100267;3.8732007
29/12/2025;00:53:54;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
29/12/2025;01:03:54;Voiture;Antigone;165;239;Open;43.60871606;3.88881893
29/12/2025;01:03:54;Voiture;Comedie;411;664;Open;43.60856092;3.87976196
29/12/2025;01:03:54;Voiture;Corum;367;480;Open;43.61388821;3.88225773
29/12/2025;01:03:54;Voiture;Europa;500;591;Open;43.60784971;3.89253074
29/12/2025;01:03:54;Voiture;Foch;577;620;Open;43.61074912;3.87657084
29/12/2025;01:03:54;Voiture;Gambetta;155;452;Open;43.60695138;3.87137436
29/12/2025;01:03:54;Voiture;Gare;466;656;Open;43.604024;3.87891
29/12/2025;01:03:54;Voiture;Triangle;341;434;Open;43.60923384;3.88184418
29/12/2025;01:03:54;Voiture;Pitot;516;590;Open;43.61224494;3.87019117
29/12/2025;01:03:54;Voiture;Circe;1067;1200;Open;43.60495377;3.9178495
29/12/2025;01:03:54;Voiture;Garcia Lorca;383;400;Open;43.59098509;3.8907158
29/12/2025;01:03:54;Voiture;Mosson;322;328;Open;43.61623716;3.81966554
29/12/2025;01:03:54;Voiture;Sabines;195;285;Open;43.58383263;3.8602246
29/12/2025;01:03:54;Voiture;Sablassou;297;379;Open;43.63419194;3.92229536
29/12/2025;01:03:54;Voiture;Saint Jean Le Sec;245;285;Open;43.57082225;3.8379312
29/12/2025;01:03:54;Voiture;Euromedecine;192;239;Open;43.63895359;3.82772365
29/12/2025;01:03:54;Voiture;Occitanie;567;615;Open;43.63456232;3.84859796
29/12/2025;01:03:54;Voiture;Vicarello;49;64;Open;43.63286;3.898411
29/12/2025;01:03:54;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
29/12/2025;01:03:54;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
29/12/2025;01:03:54;Voiture;Charles de Gaulle;169;260;Open;43.6285421;3.8977621
29/12/2025;01:03:54;Voiture;Polygone;1680;1911;Open;43.607697;3.88515
29/12/2025;01:03:54;Voiture;Arc de Triomphe;152;440;Open;43.61100267;3.8732007
29/12/2025;01:03:54;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
29/12/2025;01:13:54;Voiture;Antigone;165;239;Open;43.60871606;3.88881893
29/12/2025;01:13:54;Voiture;Comedie;415;664;Open;43.60856092;3.87976196
29/12/2025;01:13:54;Voiture;Corum;367;480;Open;43.61388821;3.88225773
29/12/2025;01:13:54;Voiture;Europa;500;591;Open;43.60784971;3.89253074
29/12/2025;01:13:54;Voiture;Foch;582;620;Open;43.61074912;3.87657084
29/12/2025;01:13:54;Voiture;Gambetta;155;452;Open;43.60695138;3.87137436
29/12/2025;01:13:54;Voiture;Gare;466;656;Open;43.604024;3.87891
29/12/2025;01:13:54;Voiture;Triangle;341;434;Open;43.60923384;3.88184418
29/12/2025;01:13:54;Voiture;Pitot;516;590;Open;43.61224494;3.87019117
29/12/2025;01:13:54;Voiture;Circe;1075;1200;Open;43.60495377;3.9178495
29/12/2025;01:13:54;Voiture;Garcia Lorca;383;400;Open;43.59098509;3.8907158
29/12/2025;01:13:54;Voiture;Mosson;321;328;Open;43.61623716;3.81966554
29/12/2025;01:13:54;Voiture;Sabines;195;285;Open;43.58383263;3.8602246
29/12/2025;01:13:54;Voiture;Sablassou;297;379;Open;43.63419194;3.92229536
29/12/2025;01:13:54;Voiture;Saint Jean Le Sec;245;285;Open;43.57082225;3.8379312
29/12/2025;01:13:54;Voiture;Euromedecine;192;239;Open;43.63895359;3.82772365
29/12/2025;01:13:54;Voiture;Occitanie;567;615;Open;43.63456232;3.84859796
29/12/2025;01:13:54;Voiture;Vicarello;49;64;Open;43.63286;3.898411
29/12/2025;01:13:54;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
29/12/2025;01:13:54;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
29/12/2025;01:13:54;Voiture;Charles de Gaulle;169;260;Open;43.6285421;3.8977621
29/12/2025;01:13:54;Voiture;Polygone;1683;1911;Open;43.607697;3.88515
29/12/2025;01:13:54;Voiture;Arc de Triomphe;153;440;Open;43.61100267;3.8732007
29/12/2025;01:13:54;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
29/12/2025;01:23:54;Voiture;Antigone;165;239;Open;43.60871606;3.88881893
29/12/2025;01:23:54;Voiture;Comedie;415;664;Open;43.60856092;3.87976196
29/12/2025;01:23:54;Voiture;Corum;367;480;Open;43.61388821;3.88225773
29/12/2025;01:23:54;Voiture;Europa;500;591;Open;43.60784971;3.89253074
29/12/2025;01:23:54;Voiture;Foch;584;620;Open;43.61074912;3.87657084
29/12/2025;01:23:54;Voiture;Gambetta;151;452;Open;43.60695138;3.87137436
29/12/2025;01:23:54;Voiture;Gare;466;656;Open;43.604024;3.87891
29/12/2025;01:23:54;Voiture;Triangle;341;434;Open;43.60923384;3.88184418
29/12/2025;01:23:54;Voiture;Pitot;517;590;Open;43.61224494;3.87019117
29/12/2025;01:23:54;Voiture;Circe;1082;1200;Open;43.60495377;3.9178495
29/12/2025;01:23:54;Voiture;Garcia Lorca;383;400;Open;43.59098509;3.8907158
29/12/2025;01:23:54;Voiture;Mosson;322;328;Open;43.61623716;3.81966554
29/12/2025;01:23:54;Voiture;Sabines;195;285;Open;43.58383263;3.8602246
29/12/2025;01:23:54;Voiture;Sablassou;297;379;Open;43.63419194;3.92229536
29/12/2025;01:23:54;Voiture;Saint Jean Le Sec;245;285;Open;43.57082225;3.8379312
29/12/2025;01:23:54;Voiture;Euromedecine;192;239;Open;43.63895359;3.82772365
29/12/2025;01:23:54;Voiture;Occitanie;567;615;Open;43.63456232;3.84859796
29/12/2025;01:23:54;Voiture;Vicarello;49;64;Open;43.63286;3.898411
29/12/2025;01:23:54;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
29/12/2025;01:23:54;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
29/12/2025;01:23:54;Voiture;Charles de Gaulle;167;260;Open;43.6285421;3.8977621
29/12/2025;01:23:54;Voiture;Polygone;1685;1911;Open;43.607697;3.88515
29/12/2025;01:23:54;Voiture;Arc de Triomphe;153;440;Open;43.61100267;3.8732007
29/12/2025;01:23:54;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
29/12/2025;01:33:54;Voiture;Antigone;165;239;Open;43.60871606;3.88881893
29/12/2025;01:33:54;Voiture;Comedie;413;664;Open;43.60856092;3.87976196
29/12/2025;01:33:54;Voiture;Corum;367;480;Open;43.61388821;3.88225773
29/12/2025;01:33:54;Voiture;Europa;500;591;Open;43.60784971;3.89253074
29/12/2025;01:33:54;Voiture;Foch;585;620;Open;43.61074912;3.87657084
29/12/2025;01:33:54;Voiture;Gambetta;151;452;Open;43.60695138;3.87137436
29/12/2025;01:33:54;Voiture;Gare;466;656;Open;43.604024;3.87891
29/12/2025;01:33:54;Voiture;Triangle;341;434;Open;43.60923384;3.88184418
29/12/2025;01:33:54;Voiture;Pitot;518;590;Open;43.61224494;3.87019117
29/12/2025;01:33:54;Voiture;Circe;1084;1200;Open;43.60495377;3.9178495
29/12/2025;01:33:54;Voiture;Garcia Lorca;383;400;Open;43.59098509;3.8907158
29/12/2025;01:33:54;Voiture;Mosson;322;328;Open;43.61623716;3.81966554
29/12/2025;01:33:54;Voiture;Sabines;196;285;Open;43.58383263;3.8602246
29/12/2025;01:33:54;Voiture;Sablassou;297;379;Open;43.63419194;3.92229536
29/12/2025;01:33:54;Voiture;Saint Jean Le Sec;245;285;Open;43.57082225;3.8379312
29/12/2025;01:33:54;Voiture;Euromedecine;192;239;Open;43.63895359;3.82772365
29/12/2025;01:33:54;Voiture;Occitanie;567;615;Open;43.63456232;3.84859796
29/12/2025;01:33:54;Voiture;Vicarello;49;64;Open;43.63286;3.898411
29/12/2025;01:33:54;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
29/12/2025;01:33:54;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
29/12/2025;01:33:54;Voiture;Charles de Gaulle;167;260;Open;43.6285421;3.8977621
29/12/2025;01:33:54;Voiture;Polygone;1687;1911;Open;43.607697;3.88515
29/12/2025;01:33:54;Voiture;Arc de Triomphe;153;440;Open;43.61100267;3.8732007
29/12/2025;01:33:54;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
29/12/2025;01:43:54;Voiture;Antigone;165;239;Open;43.60871606;3.88881893
29/12/2025;01:43:54;Voiture;Comedie;414;664;Open;43.60856092;3.87976196
29/12/2025;01:43:54;Voiture;Corum;368;480;Open;43.61388821;3.88225773
29/12/2025;01:43:54;Voiture;Europa;500;591;Open;43.60784971;3.89253074
29/12/2025;01:43:54;Voiture;Foch;585;620;Open;43.61074912;3.87657084
29/12/2025;01:43:54;Voiture;Gambetta;150;452;Open;43.60695138;3.87137436
29/12/2025;01:43:54;Voiture;Gare;466;656;Open;43.604024;3.87891
29/12/2025;01:43:54;Voiture;Triangle;341;434;Open;43.60923384;3.88184418
29/12/2025;01:43:54;Voiture;Pitot;519;590;Open;43.61224494;3.87019117
29/12/2025;01:43:54;Voiture;Circe;1085;1200;Open;43.60495377;3.9178495
29/12/2025;01:43:54;Voiture;Garcia Lorca;383;400;Open;43.59098509;3.8907158
29/12/2025;01:43:54;Voiture;Mosson;322;328;Open;43.61623716;3.81966554
29/12/2025;01:43:54;Voiture;Sabines;196;285;Open;43.58383263;3.8602246
29/12/2025;01:43:54;Voiture;Sablassou;297;379;Open;43.63419194;3.92229536
29/12/2025;01:43:54;Voiture;Saint Jean Le Sec;245;285;Open;43.57082225;3.8379312
29/12/2025;01:43:54;Voiture;Euromedecine;192;239;Open;43.63895359;3.82772365
29/12/2025;01:43:54;Voiture;Occitanie;567;615;Open;43.63456232;3.84859796
29/12/2025;01:43:54;Voiture;Vicarello;49;64;Open;43.63286;3.898411
29/12/2025;01:43:54;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
29/12/2025;01:43:54;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
29/12/2025;01:43:54;Voiture;Charles de Gaulle;167;260;Open;43.6285421;3.8977621
29/12/2025;01:43:54;Voiture;Polygone;1690;1911;Open;43.607697;3.88515
29/12/2025;01:43:54;Voiture;Arc de Triomphe;154;440;Open;43.61100267;3.8732007
29/12/2025;01:43:54;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
29/12/2025;01:53:54;Voiture;Antigone;165;239;Open;43.60871606;3.88881893
29/12/2025;01:53:54;Voiture;Comedie;416;664;Open;43.60856092;3.87976196
29/12/2025;01:53:54;Voiture;Corum;368;480;Open;43.61388821;3.88225773
29/12/2025;01:53:54;Voiture;Europa;500;591;Open;43.60784971;3.89253074
29/12/2025;01:53:54;Voiture;Foch;586;620;Open;43.61074912;3.87657084
29/12/2025;01:53:54;Voiture;Gambetta;151;452;Open;43.60695138;3.87137436
29/12/2025;01:53:54;Voiture;Gare;467;656;Open;43.604024;3.87891
29/12/2025;01:53:54;Voiture;Triangle;341;434;Open;43.60923384;3.88184418
29/12/2025;01:53:54;Voiture;Pitot;519;590;Open;43.61224494;3.87019117
29/12/2025;01:53:54;Voiture;Circe;1086;1200;Open;43.60495377;3.9178495
29/12/2025;01:53:54;Voiture;Garcia Lorca;383;400;Open;43.59098509;3.8907158
29/12/2025;01:53:54;Voiture;Mosson;322;328;Open;43.61623716;3.81966554
29/12/2025;01:53:54;Voiture;Sabines;196;285;Open;43.58383263;3.8602246
29/12/2025;01:53:54;Voiture;Sablassou;297;379;Open;43.63419194;3.92229536
29/12/2025;01:53:54;Voiture;Saint Jean Le Sec;245;285;Open;43.57082225;3.8379312
29/12/2025;01:53:54;Voiture;Euromedecine;192;239;Open;43.63895359;3.82772365
29/12/2025;01:53:54;Voiture;Occitanie;567;615;Open;43.63456232;3.84859796
29/12/2025;01:53:54;Voiture;Vicarello;49;64;Open;43.63286;3.898411
29/12/2025;01:53:54;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
29/12/2025;01:53:54;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
29/12/2025;01:53:54;Voiture;Charles de Gaulle;166;260;Open;43.6285421;3.8977621
29/12/2025;01:53:54;Voiture;Polygone;1687;1911;Open;43.607697;3.88515
29/12/2025;01:53:54;Voiture;Arc de Triomphe;154;440;Open;43.61100267;3.8732007
29/12/2025;01:53:54;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
29/12/2025;02:03:54;Voiture;Antigone;165;239;Open;43.60871606;3.88881893
29/12/2025;02:03:54;Voiture;Comedie;416;664;Open;43.60856092;3.87976196
29/12/2025;02:03:54;Voiture;Corum;367;480;Open;43.61388821;3.88225773
29/12/2025;02:03:54;Voiture;Europa;500;591;Open;43.60784971;3.89253074
29/12/2025;02:03:54;Voiture;Foch;586;620;Open;43.61074912;3.87657084
29/12/2025;02:03:54;Voiture;Gambetta;151;452;Open;43.60695138;3.87137436
29/12/2025;02:03:54;Voiture;Gare;467;656;Open;43.604024;3.87891
29/12/2025;02:03:54;Voiture;Triangle;341;434;Open;43.60923384;3.88184418
29/12/2025;02:03:54;Voiture;Pitot;519;590;Open;43.61224494;3.87019117
29/12/2025;02:03:54;Voiture;Circe;1086;1200;Open;43.60495377;3.9178495
29/12/2025;02:03:54;Voiture;Garcia Lorca;383;400;Open;43.59098509;3.8907158
29/12/2025;02:03:54;Voiture;Mosson;322;328;Open;43.61623716;3.81966554
29/12/2025;02:03:54;Voiture;Sabines;196;285;Open;43.58383263;3.8602246
29/12/2025;02:03:54;Voiture;Sablassou;297;379;Open;43.63419194;3.92229536
29/12/2025;02:03:54;Voiture;Saint Jean Le Sec;245;285;Open;43.57082225;3.8379312
29/12/2025;02:03:54;Voiture;Euromedecine;192;239;Open;43.63895359;3.82772365
29/12/2025;02:03:54;Voiture;Occitanie;567;615;Open;43.63456232;3.84859796
29/12/2025;02:03:54;Voiture;Vicarello;49;64;Open;43.63286;3.898411
29/12/2025;02:03:54;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
29/12/2025;02:03:54;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
29/12/2025;02:03:54;Voiture;Charles de Gaulle;166;260;Open;43.6285421;3.8977621
29/12/2025;02:03:54;Voiture;Polygone;1690;1911;Open;43.607697;3.88515
29/12/2025;02:03:54;Voiture;Arc de Triomphe;153;440;Open;43.61100267;3.8732007
29/12/2025;02:03:54;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
29/12/2025;02:13:54;Voiture;Antigone;165;239;Open;43.60871606;3.88881893
29/12/2025;02:13:54;Voiture;Comedie;417;664;Open;43.60856092;3.87976196
29/12/2025;02:13:54;Voiture;Corum;367;480;Open;43.61388821;3.88225773
29/12/2025;02:13:54;Voiture;Europa;500;591;Open;43.60784971;3.89253074
29/12/2025;02:13:54;Voiture;Foch;585;620;Open;43.61074912;3.87657084
29/12/2025;02:13:54;Voiture;Gambetta;152;452;Open;43.60695138;3.87137436
29/12/2025;02:13:54;Voiture;Gare;467;656;Open;43.604024;3.87891
29/12/2025;02:13:54;Voiture;Triangle;341;434;Open;43.60923384;3.88184418
29/12/2025;02:13:54;Voiture;Pitot;519;590;Open;43.61224494;3.87019117
29/12/2025;02:13:54;Voiture;Circe;1087;1200;Open;43.60495377;3.9178495
