Date;Heure;Type;Nom;Disponibilite;Capacite;Statut;Latitude;Longitude
29/12/2025;00:13:54;Vélo;Prés d Arènes;2;8;working;43.59048;3.884611
29/12/2025;00:13:54;Vélo;Garcia Lorca;6;8;working;43.590757;3.890616
29/12/2025;00:13:54;Vélo;Vert Bois;4;16;working;43.63543;3.871179
29/12/2025;00:13:54;Vélo;Malbosc;1;8;working;43.633679;3.832861
29/12/2025;00:13:54;Vélo;Occitanie;10;32;working;43.635689;3.849597
29/12/2025;00:13:54;Vélo;FacdesSciences;9;24;working;43.631318;3.861299
29/12/2025;00:13:54;Vélo;Fac de Lettres;4;12;working;43.630437;3.869539
29/12/2025;00:13:54;Vélo;Aiguelongue;2;8;working;43.626163;3.882492
29/12/2025;00:13:54;Vélo;Jeu de Mail des Abbés;1;8;working;43.619701;3.883831
29/12/2025;00:13:54;Vélo;Euromédecine;1;8;working;43.639119;3.828199
29/12/2025;00:13:54;Vélo;Marie Caizergues;4;8;working;43.619871;3.873812
29/12/2025;00:13:54;Vélo;Sabines;0;8;working;43.584211;3.860031
29/12/2025;00:13:54;Vélo;Celleneuve;4;8;working;43.61467;3.832624
29/12/2025;00:13:54;Vélo;Jardin de la Lironde;6;8;working;43.60585;3.911576
29/12/2025;00:13:54;Vélo;Père Soulas;7;8;working;43.621983;3.855603
29/12/2025;00:13:54;Vélo;Place Viala;6;8;working;43.616812;3.855075
29/12/2025;00:13:54;Vélo;Hôtel du Département;5;8;working;43.621682;3.83477
29/12/2025;00:13:54;Vélo;Tonnelles;1;8;working;43.615155;3.839466
29/12/2025;00:13:54;Vélo;Parvis Jules Ferry - Gare Saint-Roch;4;8;working;43.603889;3.879362
29/12/2025;00:13:54;Vélo;Pont de Lattes - Gare Saint-Roch;2;12;working;43.606036;3.882393
29/12/2025;00:13:54;Vélo;Deux Ponts - Gare Saint-Roch;0;8;working;43.604319;3.880916
29/12/2025;00:13:54;Vélo;Providence - Ovalie;3;8;working;43.588239;3.853421
29/12/2025;00:13:54;Vélo;Pérols Etang de l Or;54;68;working;43.558351;3.963412
29/12/2025;00:13:54;Vélo;Albert 1er - Cathédrale;1;12;working;43.614005;3.873218
29/12/2025;00:13:54;Vélo;Saint-Guilhem - Courreau;3;8;working;43.608996;3.872752
29/12/2025;00:13:54;Vélo;Sud De France;4;8;working;43.59562;3.9235
29/12/2025;00:13:54;Vélo;Comedie Baudin;0;8;working;43.608717;3.880787
29/12/2025;00:13:54;Vélo;Jean de Beins;1;16;working;43.609857;3.883884
29/12/2025;00:23:54;Vélo;Rue Jules Ferry - Gare Saint-Roch;1;12;working;43.605366;3.881346
29/12/2025;00:23:54;Vélo;Comédie;4;20;working;43.608148;3.878778
29/12/2025;00:23:54;Vélo;Hôtel de Ville;9;16;working;43.599088;3.894866
29/12/2025;00:23:54;Vélo;Corum;7;12;working;43.613989;3.8816
29/12/2025;00:23:54;Vélo;Place Albert 1er - St Charles;9;27;working;43.616768;3.873375
29/12/2025;00:23:54;Vélo;Foch;3;8;working;43.610989;3.873345
29/12/2025;00:23:54;Vélo;Halles Castellane;0;12;working;43.609935;3.877208
29/12/2025;00:23:54;Vélo;Observatoire;5;8;working;43.606301;3.87724
29/12/2025;00:23:54;Vélo;Rondelet;6;16;working;43.603038;3.875796
29/12/2025;00:23:54;Vélo;Plan Cabanes;7;12;working;43.608491;3.868389
29/12/2025;00:23:54;Vélo;Boutonnet;8;12;working;43.622629;3.868375
29/12/2025;00:23:54;Vélo;Emile Combes;3;8;working;43.616742;3.87998
29/12/2025;00:23:54;Vélo;Beaux-Arts;10;16;working;43.616698;3.884981
29/12/2025;00:23:54;Vélo;Les Aubes;6;8;working;43.618692;3.893844
29/12/2025;00:23:54;Vélo;Antigone centre;9;12;working;43.607942;3.890634
29/12/2025;00:23:54;Vélo;Médiathèque Emile Zola;5;16;working;43.608218;3.89314
29/12/2025;00:23:54;Vélo;Nombre d Or;7;16;working;43.607859;3.886644
29/12/2025;00:23:54;Vélo;Louis Blanc;5;16;working;43.614642;3.877648
29/12/2025;00:23:54;Vélo;Gambetta;5;8;working;43.607106;3.870693
29/12/2025;00:23:54;Vélo;Port Marianne;7;16;working;43.60032;3.89851
29/12/2025;00:23:54;Vélo;Les Arceaux;4;8;working;43.612659;3.867734
29/12/2025;00:23:54;Vélo;Cité Mion;4;8;working;43.601143;3.884373
29/12/2025;00:23:54;Vélo;Nouveau Saint-Roch;6;8;working;43.599817;3.875757
29/12/2025;00:23:54;Vélo;Renouvier;0;8;working;43.603553;3.867884
29/12/2025;00:23:54;Vélo;Odysseum;0;8;working;43.603727;3.918979
29/12/2025;00:23:54;Vélo;Saint-Denis;0;8;working;43.605021;3.875065
29/12/2025;00:23:54;Vélo;Richter;7;16;working;43.603424;3.899263
29/12/2025;00:23:54;Vélo;Charles Flahault;0;8;working;43.622038;3.86672
29/12/2025;00:23:54;Vélo;Voltaire;5;8;working;43.603767;3.888659
29/12/2025;00:23:54;Vélo;Prés d Arènes;2;8;working;43.59048;3.884611
29/12/2025;00:23:54;Vélo;Garcia Lorca;6;8;working;43.590757;3.890616
29/12/2025;00:23:54;Vélo;Vert Bois;4;16;working;43.63543;3.871179
29/12/2025;00:23:54;Vélo;Malbosc;1;8;working;43.633679;3.832861
29/12/2025;00:23:54;Vélo;Occitanie;10;32;working;43.635689;3.849597
29/12/2025;00:23:54;Vélo;FacdesSciences;9;24;working;43.631318;3.861299
29/12/2025;00:23:54;Vélo;Fac de Lettres;4;12;working;43.630437;3.869539
29/12/2025;00:23:54;Vélo;Aiguelongue;2;8;working;43.626163;3.882492
29/12/2025;00:23:54;Vélo;Jeu de Mail des Abbés;1;8;working;43.619701;3.883831
29/12/2025;00:23:54;Vélo;Euromédecine;1;8;working;43.639119;3.828199
29/12/2025;00:23:54;Vélo;Marie Caizergues;4;8;working;43.619871;3.873812
29/12/2025;00:23:54;Vélo;Sabines;0;8;working;43.584211;3.860031
29/12/2025;00:23:54;Vélo;Celleneuve;4;8;working;43.61467;3.832624
29/12/2025;00:23:54;Vélo;Jardin de la Lironde;6;8;working;43.60585;3.911576
29/12/2025;00:23:54;Vélo;Père Soulas;7;8;working;43.621983;3.855603
29/12/2025;00:23:54;Vélo;Place Viala;6;8;working;43.616812;3.855075
29/12/2025;00:23:54;Vélo;Hôtel du Département;5;8;working;43.621682;3.83477
29/12/2025;00:23:54;Vélo;Tonnelles;1;8;working;43.615155;3.839466
29/12/2025;00:23:54;Vélo;Parvis Jules Ferry - Gare Saint-Roch;4;8;working;43.603889;3.879362
29/12/2025;00:23:54;Vélo;Pont de Lattes - Gare Saint-Roch;2;12;working;43.606036;3.882393
29/12/2025;00:23:54;Vélo;Deux Ponts - Gare Saint-Roch;0;8;working;43.604319;3.880916
29/12/2025;00:23:54;Vélo;Providence - Ovalie;3;8;working;43.588239;3.853421
29/12/2025;00:23:54;Vélo;Pérols Etang de l Or;54;68;working;43.558351;3.963412
29/12/2025;00:23:54;Vélo;Albert 1er - Cathédrale;1;12;working;43.614005;3.873218
29/12/2025;00:23:54;Vélo;Saint-Guilhem - Courreau;3;8;working;43.608996;3.872752
29/12/2025;00:23:54;Vélo;Sud De France;4;8;working;43.59562;3.9235
29/12/2025;00:23:54;Vélo;Comedie Baudin;0;8;working;43.608717;3.880787
29/12/2025;00:23:54;Vélo;Jean de Beins;1;16;working;43.609857;3.883884
29/12/2025;00:33:54;Vélo;Rue Jules Ferry - Gare Saint-Roch;1;12;working;43.605366;3.881346
29/12/2025;00:33:54;Vélo;Comédie;4;20;working;43.608148;3.878778
29/12/2025;00:33:54;Vélo;Hôtel de Ville;9;16;working;43.599088;3.894866
29/12/2025;00:33:54;Vélo;Corum;7;12;working;43.613989;3.8816
29/12/2025;00:33:54;Vélo;Place Albert 1er - St Charles;9;27;working;43.616768;3.873375
29/12/2025;00:33:54;Vélo;Foch;2;8;working;43.610989;3.873345
29/12/2025;00:33:54;Vélo;Halles Castellane;0;12;working;43.609935;3.877208
29/12/2025;00:33:54;Vélo;Observatoire;5;8;working;43.606301;3.87724
29/12/2025;00:33:54;Vélo;Rondelet;6;16;working;43.603038;3.875796
29/12/2025;00:33:54;Vélo;Plan Cabanes;7;12;working;43.608491;3.868389
29/12/2025;00:33:54;Vélo;Boutonnet;8;12;working;43.622629;3.868375
29/12/2025;00:33:54;Vélo;Emile Combes;3;8;working;43.616742;3.87998
29/12/2025;00:33:54;Vélo;Beaux-Arts;10;16;working;43.616698;3.884981
29/12/2025;00:33:54;Vélo;Les Aubes;6;8;working;43.618692;3.893844
29/12/2025;00:33:54;Vélo;Antigone centre;9;12;working;43.607942;3.890634
29/12/2025;00:33:54;Vélo;Médiathèque Emile Zola;5;16;working;43.608218;3.89314
29/12/2025;00:33:54;Vélo;Nombre d Or;7;16;working;43.607859;3.886644
29/12/2025;00:33:54;Vélo;Louis Blanc;5;16;working;43.614642;3.877648
29/12/2025;00:33:54;Vélo;Gambetta;5;8;working;43.607106;3.870693
29/12/2025;00:33:54;Vélo;Port Marianne;7;16;working;43.60032;3.89851
29/12/2025;00:33:54;Vélo;Les Arceaux;4;8;working;43.612659;3.867734
29/12/2025;00:33:54;Vélo;Cité Mion;4;8;working;43.601143;3.884373
29/12/2025;00:33:54;Vélo;Nouveau Saint-Roch;6;8;working;43.599817;3.875757
29/12/2025;00:33:54;Vélo;Renouvier;0;8;working;43.603553;3.867884
29/12/2025;00:33:54;Vélo;Odysseum;0;8;working;43.603727;3.918979
29/12/2025;00:33:54;Vélo;Saint-Denis;0;8;working;43.605021;3.875065
29/12/2025;00:33:54;Vélo;Richter;7;16;working;43.603424;3.899263
29/12/2025;00:33:54;Vélo;Charles Flahault;0;8;working;43.622038;3.86672
29/12/2025;00:33:54;Vélo;Voltaire;5;8;working;43.603767;3.888659
29/12/2025;00:33:54;Vélo;Prés d Arènes;2;8;working;43.59048;3.884611
29/12/2025;00:33:54;Vélo;Garcia Lorca;6;8;working;43.590757;3.890616
29/12/2025;00:33:54;Vélo;Vert Bois;4;16;working;43.63543;3.871179
29/12/2025;00:33:54;Vélo;Malbosc;1;8;working;43.633679;3.832861
29/12/2025;00:33:54;Vélo;Occitanie;10;32;working;43.635689;3.849597
29/12/2025;00:33:54;Vélo;FacdesSciences;9;24;working;43.631318;3.861299
29/12/2025;00:33:54;Vélo;Fac de Lettres;4;12;working;43.630437;3.869539
29/12/2025;00:33:54;Vélo;Aiguelongue;2;8;working;43.626163;3.882492
29/12/2025;00:33:54;Vélo;Jeu de Mail des Abbés;1;8;working;43.619701;3.883831
29/12/2025;00:33:54;Vélo;Euromédecine;1;8;working;43.639119;3.828199
29/12/2025;00:33:54;Vélo;Marie Caizergues;4;8;working;43.619871;3.873812
29/12/2025;00:33:54;Vélo;Sabines;0;8;working;43.584211;3.860031
29/12/2025;00:33:54;Vélo;Celleneuve;4;8;working;43.61467;3.832624
29/12/2025;00:33:54;Vélo;Jardin de la Lironde;6;8;working;43.60585;3.911576
29/12/2025;00:33:54;Vélo;Père Soulas;7;8;working;43.621983;3.855603
29/12/2025;00:33:54;Vélo;Place Viala;6;8;working;43.616812;3.855075
29/12/2025;00:33:54;Vélo;Hôtel du Département;5;8;working;43.621682;3.83477
29/12/2025;00:33:54;Vélo;Tonnelles;1;8;working;43.615155;3.839466
29/12/2025;00:33:54;Vélo;Parvis Jules Ferry - Gare Saint-Roch;4;8;working;43.603889;3.879362
29/12/2025;00:33:54;Vélo;Pont de Lattes - Gare Saint-Roch;2;12;working;43.606036;3.882393
29/12/2025;00:33:54;Vélo;Deux Ponts - Gare Saint-Roch;0;8;working;43.604319;3.880916
29/12/2025;00:33:54;Vélo;Providence - Ovalie;3;8;working;43.588239;3.853421
29/12/2025;00:33:54;Vélo;Pérols Etang de l Or;54;68;working;43.558351;3.963412
29/12/2025;00:33:54;Vélo;Albert 1er - Cathédrale;1;12;working;43.614005;3.873218
29/12/2025;00:33:54;Vélo;Saint-Guilhem - Courreau;3;8;working;43.608996;3.872752
29/12/2025;00:33:54;Vélo;Sud De France;4;8;working;43.59562;3.9235
29/12/2025;00:33:54;Vélo;Comedie Baudin;0;8;working;43.608717;3.880787
29/12/2025;00:33:54;Vélo;Jean de Beins;1;16;working;43.609857;3.883884
29/12/2025;00:43:54;Vélo;Rue Jules Ferry - Gare Saint-Roch;1;12;working;43.605366;3.881346
29/12/2025;00:43:54;Vélo;Comédie;4;20;working;43.608148;3.878778
29/12/2025;00:43:54;Vélo;Hôtel de Ville;9;16;working;43.599088;3.894866
29/12/2025;00:43:54;Vélo;Corum;7;12;working;43.613989;3.8816
29/12/2025;00:43:54;Vélo;Place Albert 1er - St Charles;9;27;working;43.616768;3.873375
29/12/2025;00:43:54;Vélo;Foch;2;8;working;43.610989;3.873345
29/12/2025;00:43:54;Vélo;Halles Castellane;0;12;working;43.609935;3.877208
29/12/2025;00:43:54;Vélo;Observatoire;5;8;working;43.606301;3.87724
29/12/2025;00:43:54;Vélo;Rondelet;6;16;working;43.603038;3.875796
29/12/2025;00:43:54;Vélo;Plan Cabanes;7;12;working;43.608491;3.868389
29/12/2025;00:43:54;Vélo;Boutonnet;8;12;working;43.622629;3.868375
29/12/2025;00:43:54;Vélo;Emile Combes;3;8;working;43.616742;3.87998
29/12/2025;00:43:54;Vélo;Beaux-Arts;10;16;working;43.616698;3.884981
29/12/2025;00:43:54;Vélo;Les Aubes;6;8;working;43.618692;3.893844
29/12/2025;00:43:54;Vélo;Antigone centre;9;12;working;43.607942;3.890634
29/12/2025;00:43:54;Vélo;Médiathèque Emile Zola;5;16;working;43.608218;3.89314
29/12/2025;00:43:54;Vélo;Nombre d Or;7;16;working;43.607859;3.886644
29/12/2025;00:43:54;Vélo;Louis Blanc;5;16;working;43.614642;3.877648
29/12/2025;00:43:54;Vélo;Gambetta;5;8;working;43.607106;3.870693
29/12/2025;00:43:54;Vélo;Port Marianne;7;16;working;43.60032;3.89851
29/12/2025;00:43:54;Vélo;Les Arceaux;4;8;working;43.612659;3.867734
29/12/2025;00:43:54;Vélo;Cité Mion;4;8;working;43.601143;3.884373
29/12/2025;00:43:54;Vélo;Nouveau Saint-Roch;6;8;working;43.599817;3.875757
29/12/2025;00:43:54;Vélo;Renouvier;0;8;working;43.603553;3.867884
29/12/2025;00:43:54;Vélo;Odysseum;0;8;working;43.603727;3.918979
29/12/2025;00:43:54;Vélo;Saint-Denis;0;8;working;43.605021;3.875065
29/12/2025;00:43:54;Vélo;Richter;7;16;working;43.603424;3.899263
29/12/2025;00:43:54;Vélo;Charles Flahault;0;8;working;43.622038;3.86672
29/12/2025;00:43:54;Vélo;Voltaire;5;8;working;43.603767;3.888659
29/12/2025;00:43:54;Vélo;Prés d Arènes;2;8;working;43.59048;3.884611
29/12/2025;00:43:54;Vélo;Garcia Lorca;6;8;working;43.590757;3.890616
29/12/2025;00:43:54;Vélo;Vert Bois;4;16;working;43.63543;3.871179
29/12/2025;00:43:54;Vélo;Malbosc;1;8;working;43.633679;3.832861
29/12/2025;00:43:54;Vélo;Occitanie;10;32;working;43.635689;3.849597
29/12/2025;00:43:54;Vélo;FacdesSciences;9;24;working;43.631318;3.861299
29/12/2025;00:43:54;Vélo;Fac de Lettres;4;12;working;43.630437;3.869539
29/12/2025;00:43:54;Vélo;Aiguelongue;2;8;working;43.626163;3.882492
29/12/2025;00:43:54;Vélo;Jeu de Mail des Abbés;1;8;working;43.619701;3.883831
29/12/2025;00:43:54;Vélo;Euromédecine;1;8;working;43.639119;3.828199
29/12/2025;00:43:54;Vélo;Marie Caizergues;4;8;working;43.619871;3.873812
29/12/2025;00:43:54;Vélo;Sabines;0;8;working;43.584211;3.860031
29/12/2025;00:43:54;Vélo;Celleneuve;4;8;working;43.61467;3.832624
29/12/2025;00:43:54;Vélo;Jardin de la Lironde;6;8;working;43.60585;3.911576
29/12/2025;00:43:54;Vélo;Père Soulas;7;8;working;43.621983;3.855603
29/12/2025;00:43:54;Vélo;Place Viala;6;8;working;43.616812;3.855075
29/12/2025;00:43:54;Vélo;Hôtel du Département;5;8;working;43.621682;3.83477
29/12/2025;00:43:54;Vélo;Tonnelles;1;8;working;43.615155;3.839466
29/12/2025;00:43:54;Vélo;Parvis Jules Ferry - Gare Saint-Roch;4;8;working;43.603889;3.879362
29/12/2025;00:43:54;Vélo;Pont de Lattes - Gare Saint-Roch;2;12;working;43.606036;3.882393
29/12/2025;00:43:54;Vélo;Deux Ponts - Gare Saint-Roch;0;8;working;43.604319;3.880916
29/12/2025;00:43:54;Vélo;Providence - Ovalie;3;8;working;43.588239;3.853421
29/12/2025;00:43:54;Vélo;Pérols Etang de l Or;54;68;working;43.558351;3.963412
29/12/2025;00:43:54;Vélo;Albert 1er - Cathédrale;1;12;working;43.614005;3.873218
29/12/2025;00:43:54;Vélo;Saint-Guilhem - Courreau;3;8;working;43.608996;3.872752
29/12/2025;00:43:54;Vélo;Sud De France;4;8;working;43.59562;3.9235
29/12/2025;00:43:54;Vélo;Comedie Baudin;0;8;working;43.608717;3.880787
29/12/2025;00:43:54;Vélo;Jean de Beins;1;16;working;43.609857;3.883884
29/12/2025;00:53:54;Vélo;Rue Jules Ferry - Gare Saint-Roch;1;12;working;43.605366;3.881346
29/12/2025;00:53:54;Vélo;Comédie;4;20;working;43.608148;3.878778
29/12/2025;00:53:54;Vélo;Hôtel de Ville;9;16;working;43.599088;3.894866
29/12/2025;00:53:54;Vélo;Corum;7;12;working;43.613989;3.8816
29/12/2025;00:53:54;Vélo;Place Albert 1er - St Charles;9;27;working;43.616768;3.873375
29/12/2025;00:53:54;Vélo;Foch;2;8;working;43.610989;3.873345
29/12/2025;00:53:54;Vélo;Halles Castellane;0;12;working;43.609935;3.877208
29/12/2025;00:53:54;Vélo;Observatoire;5;8;working;43.606301;3.87724
29/12/2025;00:53:54;Vélo;Rondelet;6;16;working;43.603038;3.875796
29/12/2025;00:53:54;Vélo;Plan Cabanes;7;12;working;43.608491;3.868389
29/12/2025;00:53:54;Vélo;Boutonnet;8;12;working;43.622629;3.868375
29/12/2025;00:53:54;Vélo;Emile Combes;3;8;working;43.616742;3.87998
29/12/2025;00:53:54;Vélo;Beaux-Arts;10;16;working;43.616698;3.884981
29/12/2025;00:53:54;Vélo;Les Aubes;6;8;working;43.618692;3.893844
29/12/2025;00:53:54;Vélo;Antigone centre;9;12;working;43.607942;3.890634
29/12/2025;00:53:54;Vélo;Médiathèque Emile Zola;5;16;working;43.608218;3.89314
29/12/2025;00:53:54;Vélo;Nombre d Or;7;16;working;43.607859;3.886644
29/12/2025;00:53:54;Vélo;Louis Blanc;5;16;working;43.614642;3.877648
29/12/2025;00:53:54;Vélo;Gambetta;5;8;working;43.607106;3.870693
29/12/2025;00:53:54;Vélo;Port Marianne;7;16;working;43.60032;3.89851
29/12/2025;00:53:54;Vélo;Les Arceaux;4;8;working;43.612659;3.867734
29/12/2025;00:53:54;Vélo;Cité Mion;4;8;working;43.601143;3.884373
29/12/2025;00:53:54;Vélo;Nouveau Saint-Roch;6;8;working;43.599817;3.875757
29/12/2025;00:53:54;Vélo;Renouvier;0;8;working;43.603553;3.867884
29/12/2025;00:53:54;Vélo;Odysseum;0;8;working;43.603727;3.918979
29/12/2025;00:53:54;Vélo;Saint-Denis;0;8;working;43.605021;3.875065
29/12/2025;00:53:54;Vélo;Richter;7;16;working;43.603424;3.899263
29/12/2025;00:53:54;Vélo;Charles Flahault;0;8;working;43.622038;3.86672
29/12/2025;00:53:54;Vélo;Voltaire;5;8;working;43.603767;3.888659
29/12/2025;00:53:54;Vélo;Prés d Arènes;2;8;working;43.59048;3.884611
29/12/2025;00:53:54;Vélo;Garcia Lorca;6;8;working;43.590757;3.890616
29/12/2025;00:53:54;Vélo;Vert Bois;4;16;working;43.63543;3.871179
29/12/2025;00:53:54;Vélo;Malbosc;1;8;working;43.633679;3.832861
29/12/2025;00:53:54;Vélo;Occitanie;10;32;working;43.635689;3.849597
29/12/2025;00:53:54;Vélo;FacdesSciences;9;24;working;43.631318;3.861299
29/12/2025;00:53:54;Vélo;Fac de Lettres;4;12;working;43.630437;3.869539
29/12/2025;00:53:54;Vélo;Aiguelongue;2;8;working;43.626163;3.882492
29/12/2025;00:53:54;Vélo;Jeu de Mail des Abbés;1;8;working;43.619701;3.883831
29/12/2025;00:53:54;Vélo;Euromédecine;1;8;working;43.639119;3.828199
